source_url,title,verification_status,first_seen,last_seen,row_count,opportunity_ids
"https://analogdevices.wd1.myworkdayjobs.com/External","Analog Design Engineer","verified","2026-09-17","2026-09-17",2,"acf3a806-cdfa-4bdb-8001-db940093736e;28c6c33b-100d-4da3-9009-07bcefc90002"
"https://analogdevices.wd1.myworkdayjobs.com/External","Analog Design Engineer Intern","verified","2026-09-17","2026-09-17",2,"01cb2b05-464d-4e72-b886-15964e2de8ee;b0e8b9e8-cd3b-41c4-a7e8-0238c4d3ef4e"
"https://analogdevices.wd1.myworkdayjobs.com/External","Analog Devices Thailandâs Internship Program","verified","2026-09-17","2026-09-17",2,"ba85b204-42be-4093-b917-56884ab7ea51;1ec6328a-5601-4e9c-8ec3-3fdf88c4765e"
"https://analogdevices.wd1.myworkdayjobs.com/External","Associate Analog Design Engineer","verified","2026-09-17","2026-09-17",2,"01bbab44-d277-4059-91ef-89a5287cd793;82901f6a-ef81-41a5-bc0a-870ba4a7f1d2"
"https://analogdevices.wd1.myworkdayjobs.com/External","FY27  Engineering Intern â Hardware, Software & Systems","verified","2026-09-17","2026-09-17",2,"e2fdd207-1b72-4a1e-8956-93157fce8354;37a1bace-1139-4e1e-be66-6913dbb6ecaf"
"https://analogdevices.wd1.myworkdayjobs.com/External","Hardware Design & Manufacture Lead","verified","2026-09-17","2026-09-17",2,"ed3f09cf-9fa1-4506-a3f7-f013da8d20ce;301dd3cc-5859-47f7-a978-bd8d3ad706e5"
"https://analogdevices.wd1.myworkdayjobs.com/External","Manager, Design Verification","verified","2026-09-17","2026-09-17",2,"e247d320-f9cd-4983-ad02-f04afa7ff72d;5641c052-8034-4f57-85ed-eae7c3ec98df"
"https://analogdevices.wd1.myworkdayjobs.com/External","Principal Analog & Mixed-Signal Design Engineer - Power/ATE","verified","2026-09-17","2026-09-17",2,"e36b8e53-9444-4e71-8db3-29ff4f7d5d42;d491a344-77ab-4f8a-86e2-8e41541154fb"
"https://analogdevices.wd1.myworkdayjobs.com/External","Principal Engineer, Analog Design Engineering","verified","2026-09-17","2026-09-17",2,"12035e95-cb56-4c97-8f04-e7f6dc206c80;32a55024-cd66-45c0-96f5-69e49fddffae"
"https://analogdevices.wd1.myworkdayjobs.com/External","Principal Engineer, Design Verification","verified","2026-09-17","2026-09-17",2,"f37fcb80-13c2-432e-ac46-6ba24f39c5ce;c8d56744-65b9-4b43-8528-b65b251536b7"
"https://analogdevices.wd1.myworkdayjobs.com/External","Principal Mixed-Signal/Analog Design Engineer - Power/ATE","verified","2026-09-17","2026-09-17",2,"19b4d350-8f96-4519-a529-5dcbb4939d1c;ffb5bb9e-b9d4-44eb-bf46-95d3271fedad"
"https://analogdevices.wd1.myworkdayjobs.com/External","Reliability Hardware Engineer","verified","2026-09-17","2026-09-17",2,"0a50193d-a28a-443e-afbe-5c42d9b99014;5e546b26-9c82-4f56-bda1-eec66f3ac635"
"https://analogdevices.wd1.myworkdayjobs.com/External","Semiconductor Packaging Engineer","verified","2026-09-17","2026-09-17",2,"20026d65-b10d-4575-b063-b8d9d6713057;51af337f-0b7e-4acf-bc7c-6e411c9b1f76"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Analog IC Design Engineer","verified","2026-09-17","2026-09-17",2,"295563c5-ef11-4a64-96d9-c9bb42fb2c08;bcd679d9-2af6-44df-a2fd-96cb1e38eefb"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Embedded Hardware and Firmware Engineer","verified","2026-09-17","2026-09-17",2,"d9478785-0989-48f0-9f08-7ee5c24d3fe2;5c81b12d-c3b6-4b85-84a0-ce5bddbd8ae4"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Embedded Software Engineer","verified","2026-09-17","2026-09-17",2,"f2e019c4-ff88-466c-ba48-70be232c87df;8ff4ba1c-16d2-49d3-bdb0-25188532557e"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Embedded Systems Engineer","verified","2026-09-17","2026-09-17",2,"b51082c1-0c58-45e4-a1db-ae2cfbd59a9b;0656e685-3622-4da9-8780-3f7cf3383e48"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Engineer, Analog Design Engineering","verified","2026-09-17","2026-09-17",2,"8e091971-7c62-455c-9895-d451ceda9e84;b3649950-9be8-425d-b152-74cc04a6d194"
"https://analogdevices.wd1.myworkdayjobs.com/External","Senior Managerï¼ Analog Design","verified","2026-09-17","2026-09-17",2,"7bac6ac4-ca74-45fd-abfa-2d786cf4dc1c;c4bfa9fc-4818-4d65-8252-d5cb51b4f02b"
